xtime(milli),GSR,Volt
1913.47,464,465
1914.91,464,464
1916.36,464,465
1917.80,464,464
1919.25,465,464
1920.69,465,465
1922.14,464,465
1923.58,464,464
1925.03,464,464
1926.47,465,464
1927.92,465,465
1929.36,465,464
1930.81,464,464
1932.25,464,465
1933.70,465,464
1935.14,464,465
1936.59,465,464
1938.03,464,465
1939.48,465,464
1940.92,464,464
1942.37,464,465
1943.81,465,465
1945.26,464,464
1946.70,464,465
1948.15,464,464
1949.59,465,465
1951.04,464,464
1952.48,465,464
1953.93,465,465
1955.37,465,464
1956.82,464,464
1958.26,465,464
1959.71,465,465
1961.15,465,465
1962.60,464,465
1964.05,465,464
1965.49,465,465
1966.93,465,464
1968.38,464,465
1969.82,465,464
1971.27,465,464
1972.71,464,464
1974.16,464,464
1975.60,465,465
1977.05,464,464
1978.49,464,464
1979.94,464,465
1981.38,464,465
1982.83,465,464
1984.27,464,465
1985.72,464,465
1987.16,464,465
1988.62,464,464
1990.05,465,465
1991.50,464,465
1992.94,465,465
1994.39,465,464
1995.83,465,464
1997.28,464,465
1998.72,464,464
2000.17,465,464
2001.61,464,464
2003.06,465,464
2004.50,464,465
2005.95,465,465
2007.39,465,465
2008.84,465,464
2010.28,465,465
2011.73,464,464
2013.17,465,465
2014.62,464,464
2016.06,465,464
2017.51,465,464
2018.95,464,464
2020.40,464,464
2021.84,465,465
2023.29,465,464
2024.73,464,464
2026.18,465,464
2027.62,464,464
2029.07,465,464
2030.51,464,465
2031.96,465,465
2033.40,465,464
2034.85,464,464
2036.29,465,465
2037.74,465,465
2039.18,464,465
2040.63,465,465
2042.07,465,465
2043.52,464,465
2044.96,465,464
2046.41,464,465
2047.85,465,464
2049.30,465,465
2050.74,465,464
2052.19,464,464
2053.63,464,465
2055.08,464,465
2056.52,465,465
2057.97,465,464
2059.41,465,464
2060.86,465,464
2062.30,464,465
2063.75,464,464
2065.19,464,465
2066.64,464,464
2068.08,465,465
2069.53,465,464
2070.97,465,464
2072.42,464,464
2073.86,464,465
2075.31,464,464
2076.75,465,464
2078.20,464,464
2079.64,464,464
2081.09,464,465
2082.53,464,465
2083.98,464,464
2085.42,465,464
2086.87,464,464
2088.31,465,464
2089.76,464,464
2091.20,465,464
2092.65,465,464
2094.10,464,465
2095.54,464,465
2096.98,464,465
2098.43,465,464
2099.87,464,464
2101.32,465,464
2102.76,464,464
2104.21,465,464
2105.65,464,465
2107.10,464,464
2108.54,464,465
2109.99,464,464
2111.43,465,464
2112.88,464,465
2114.32,464,465
2115.77,465,464
2117.21,465,464
2118.66,464,465
2120.10,465,464
2121.55,464,465
2122.99,465,465
2124.44,465,465
2125.88,464,464
2127.33,464,464
2128.77,465,465
2130.22,464,465
2131.66,464,464
2133.11,465,464
2134.55,464,464
2136.00,464,464
2137.44,464,464
2138.89,465,464
2140.33,465,464
2141.78,464,465
2143.22,464,465
2144.67,465,464
2146.11,464,464
2147.56,464,465
2149.00,465,464
2150.45,464,465
2151.89,465,465
2153.34,465,465
2154.78,464,465
2156.23,464,464
2157.67,464,464
2159.12,464,464
2160.56,465,464
2162.01,465,465
2163.45,464,464
2164.90,464,464
2166.34,464,464
2167.79,465,465
2169.23,465,465
2170.68,464,464
2172.12,464,465
2173.57,464,465
2175.01,464,465
2176.46,464,465
2177.90,464,464
2179.35,465,465
2180.79,464,465
2182.24,464,464
2183.68,464,465
2185.13,465,464
2186.57,465,464
2188.02,464,465
2189.46,465,464
2190.91,464,465
2192.35,465,464
2193.80,464,464
2195.24,464,464
2196.69,464,464
2198.13,464,464
2199.58,464,464
2201.02,465,464
2202.47,464,464
2203.91,464,464
2205.36,464,464
2206.80,464,464
2208.25,464,464
2209.69,464,465
2211.14,464,465
2212.58,464,465
2214.03,465,464
2215.47,465,464
2216.92,465,465
2218.36,464,465
2219.81,464,465
2221.25,464,464
2222.70,465,464
2224.15,465,464
2225.59,464,465
2227.03,465,465
2228.48,464,464
2229.92,464,464
2231.37,464,464
2232.81,464,464
2234.26,464,465
2235.70,464,464
2237.15,464,464
2238.59,464,465
2240.04,465,464
2241.48,464,464
2242.93,464,464
2244.37,465,465
2245.82,465,465
2247.26,464,465
2248.72,465,465
2250.15,464,465
2251.60,465,465
2253.04,464,465
2254.49,464,465
2255.93,464,464
2257.38,465,464
2258.82,465,464
2260.27,464,464
2261.71,464,464
2263.16,464,464
2264.60,464,464
2266.05,464,465
2267.49,464,465
2268.94,464,464
2270.38,464,464
2271.83,464,464
2273.27,464,465
2274.72,465,464
2276.16,465,464
2277.61,465,464
